date;value
2022-05-26;14517
2022-05-26;0
2022-05-29;4750
2022-05-29;0
2022-05-01;2400
2022-05-02;8050
2022-05-06;57195
2022-05-09;0
2022-05-17;0
2022-05-23;0
2022-05-27;10300
2022-05-28;570
2022-05-29;3070
2022-05-02;53400
2022-05-04;6084
2022-05-07;12200
2022-05-17;16228
2022-05-25;640
2022-05-26;5470
2022-05-28;1900
2022-05-03;1500
2022-05-04;39947
2022-05-06;2870
2022-05-08;5945
2022-05-10;46355
2022-05-11;1500
2022-05-14;18775
2022-05-17;2054
2022-05-17;36625
2022-05-19;2485
2022-05-22;5540
2022-05-05;68025
2022-05-12;7488
2022-05-28;50
2022-05-30;0
2022-05-08;0
2022-05-12;34060
2022-05-14;32530
2022-05-18;4457
2022-05-21;300
2022-05-25;37670
2022-05-01;0
2022-05-03;11350
2022-05-04;560
2022-05-14;600
2022-05-21;1157
2022-05-22;8455
2022-05-01;1040
2022-05-01;2565
2022-05-02;3150
2022-05-02;9217
2022-05-04;6850
2022-05-06;5080
2022-05-10;14920
2022-05-13;6087
2022-05-13;30530
2022-05-16;15091
2022-05-16;0
2022-05-20;13457
2022-05-21;17392
2022-05-23;57235
2022-05-24;0
2022-05-30;36720
2023-05-04;8420
2023-05-06;0
2023-05-09;4080
2023-05-20;100
2023-05-24;12389
2023-05-24;0
2023-05-25;10655
2023-05-27;0
2023-05-30;1000
2023-05-31;2600
2023-05-07;0
2023-05-08;20046
2023-05-11;14095
2023-05-14;0
2023-05-15;6289
2023-05-19;9936
2023-05-22;0
2023-05-04;44587
2023-05-08;0
2023-05-10;15982
2023-05-17;7040
2023-05-19;0
2023-05-23;6453
2023-05-24;29795
2023-05-26;6486
2023-05-26;15400
2023-05-28;0
2023-05-02;4704
2023-05-07;0
2023-05-11;20622
2023-05-13;0
2023-05-17;0
2023-05-17;0
2023-05-18;10873
2023-05-20;9815
2023-05-22;4232
2023-05-23;15141
2023-05-23;0
2023-05-29;2180
2023-05-30;37795
2023-05-02;80
2023-05-02;7156
2023-05-03;0
2023-05-03;18395
2023-05-13;14400
2023-05-14;0
2023-05-15;10375
2023-05-16;4450
2023-05-16;17193
2023-05-18;16378
2023-05-18;0
2023-05-23;0
2023-05-31;31639
2023-05-03;7249
2023-05-15;0
2023-05-18;0
2023-05-19;5714
2023-05-19;21680
2023-05-27;3000
2023-05-29;0
2023-05-30;17311
2023-05-31;0
2023-05-05;15870
2023-05-06;8090
2023-05-10;0
2023-05-11;48020
2023-05-13;8530
2023-05-20;3534
2023-05-01;0
2023-05-06;2590
2023-05-09;0
2023-05-10;6424
2023-05-12;0
2023-05-17;24945
2023-05-21;16440
2023-05-24;0
2023-05-27;550
2023-05-01;450
2023-05-02;78550
2023-05-04;0
2023-05-05;15120
2023-05-05;0
2023-05-06;48305
2023-05-07;4528
2023-05-09;18995
2023-05-09;86645
2023-05-10;90075
2023-05-12;4575
2023-05-14;16760
2023-05-19;2950
